City,Min 1,Max 1,Min 2,Max 2,Min 3,Max 3,Min 4,Max 4,Min Avg,Max Avg
"Bengaluru,India",17.81,21.97,18.46,24.92,18.22,25.66,17.85,25.2,18.09,24.44
"Glasgow,Scotland",4.25,5.87,4.21,6.68,6.15,9.67,5.79,8.45,5.1,7.67
"Gumi,South Korea",10.73,13.75,7.1,15.62,5.12,13.18,6.15,15.69,7.28,14.56
"Lagos,Nigeria",24.51,30.42,23.89,32.06,24.38,33.53,24.73,33.47,24.38,32.37
"Nanaimo,Canada",6.18,7.45,5.99,8.25,7.89,9.57,4.88,11.43,6.23,9.18
"Niskayuna,New York",-0.59,4.18,-0.69,6.89,0.75,7.6,1.86,9.69,0.33,7.09
"Nizhny Novgorod,Russia",-9.04,-2.09,-1.58,0.5,-1.21,-0.7,-2.14,-1.04,-3.49,-0.83
"Olongapo,Phillipines",24.78,30.88,24.91,31.22,24.9,30.21,24.74,30.36,24.83,30.67
"Peshawar,Pakistan",14.71,22.56,14.01,22.14,14.16,22.22,14.53,22.04,14.35,22.24
"Peterhead,Scotland",6.35,8.14,8.25,8.85,6.74,9.8,7.26,9.61,7.15,9.1
"Quito,Ecuador",9.05,14.35,7.78,17.85,8.02,17.59,8.96,15.63,8.45,16.36
"Simmern,Germany",3.34,5.08,3.44,6.45,4.16,6.89,4.19,7.59,3.78,6.5
"Tainan,Taiwan",23.98,26.96,23.12,25.92,23.62,25.79,23.57,27.08,23.57,26.44
"Tbilisi,Georgia",11.67,17.54,10.77,19.15,9.14,15.01,8.3,13.79,9.97,16.37
"Vinh Long,Vietnam",23.71,29.9,23.45,28.54,23.68,30.3,23.22,29.79,23.52,29.63
"Xi'an,China",8.32,12.92,8.82,11.43,9.14,15.28,9.24,16.73,8.88,14.09
